Subject,Predicate,Object
Hypertension,belongs_to,Cardiology
Hypertension,has_symptom,Persistent headaches
Hypertension,has_symptom,Shortness of breath
Hypertension,has_symptom,Dizziness
Hypertension,has_symptom,Chest pain
Hypertension,has_symptom,Irregular heartbeat
Hypertension,requires_test,Blood pressure measurement
Hypertension,requires_test,Lipid profile
Hypertension,requires_test,Electrocardiogram (ECG)
Hypertension,treated_with,ACE inhibitors
Hypertension,treated_with,Beta-blockers
Hypertension,treated_with,Diuretics
Hypertension,managed_by,Regular exercise
Hypertension,managed_by,Low-sodium diet
Hypertension,managed_by,Stress management techniques
Hypertension,managed_by,Garlic supplements
Diabetes,belongs_to,Endocrinology
Diabetes,has_symptom,Increased thirst
Diabetes,has_symptom,Frequent urination
Diabetes,has_symptom,Extreme fatigue
Diabetes,has_symptom,Blurred vision
Diabetes,has_symptom,Slow healing sores
Diabetes,requires_test,Fasting blood sugar test
Diabetes,requires_test,A1C test
Diabetes,requires_test,Oral glucose tolerance test
Diabetes,treated_with,Metformin
Diabetes,treated_with,Insulin
Diabetes,treated_with,Sulfonylureas
Diabetes,managed_by,Balanced diet
Diabetes,managed_by,Regular exercise
Diabetes,managed_by,Monitoring blood sugar levels
Asthma,belongs_to,Respiratory
Asthma,has_symptom,Shortness of breath
Asthma,has_symptom,Chest tightness
Asthma,has_symptom,Wheezing
Asthma,has_symptom,Coughing
Asthma,has_symptom,Difficulty sleeping
Asthma,requires_test,Spirometry
Asthma,requires_test,Peak flow monitoring
Asthma,requires_test,Allergy testing
Asthma,treated_with,Inhaled corticosteroids
Asthma,treated_with,Leukotriene modifiers
Asthma,treated_with,Long-acting beta agonists
Asthma,managed_by,Avoiding triggers
Asthma,managed_by,Using a humidifier
Asthma,managed_by,Breathing exercises
Flu,belongs_to,Infectious Diseases
Flu,has_symptom,Fever
Flu,has_symptom,Cough
Flu,has_symptom,Sore throat
Flu,has_symptom,Body aches
Flu,has_symptom,Fatigue
Flu,requires_test,Rapid influenza diagnostic tests
Flu,requires_test,PCR tests
Flu,treated_with,Antiviral medications
Flu,treated_with,Pain relievers
Flu,managed_by,Rest
Flu,managed_by,Hydration
Flu,managed_by,Warm salt water gargle
Migraine,belongs_to,Neurology
Migraine,has_symptom,Severe headache
Migraine,has_symptom,Nausea
Migraine,has_symptom,Sensitivity to light
Migraine,has_symptom,Visual disturbances
Migraine,requires_test,Neurological exam
Migraine,requires_test,CT scan
Migraine,requires_test,MRI
Migraine,treated_with,Triptans
Migraine,treated_with,Ergots
Migraine,treated_with,Pain relievers
Migraine,managed_by,Cold compress
Migraine,managed_by,Caffeine
Migraine,managed_by,Regular sleep schedule
Arthritis,belongs_to,Rheumatology
Arthritis,has_symptom,Joint pain
Arthritis,has_symptom,Stiffness
Arthritis,has_symptom,Swelling
Arthritis,has_symptom,Reduced range of motion
Arthritis,has_symptom,Morning joint stiffness
Arthritis,requires_test,X-ray
Arthritis,requires_test,Blood tests
Arthritis,requires_test,Joint fluid analysis
Arthritis,treated_with,NSAIDs
Arthritis,treated_with,Corticosteroids
Arthritis,treated_with,Disease-modifying antirheumatic drugs
Arthritis,managed_by,Gentle exercise
Arthritis,managed_by,Hot and cold therapy
Arthritis,managed_by,Weight management
Depression,belongs_to,Psychology
Depression,has_symptom,Persistent sadness
Depression,has_symptom,Loss of interest
Depression,has_symptom,Sleep disturbances
Depression,has_symptom,Appetite changes
Depression,has_symptom,Fatigue
Depression,requires_test,Psychological evaluation
Depression,requires_test,Depression screening tests
Depression,requires_test,Blood tests to rule out other conditions
Depression,treated_with,SSRIs
Depression,treated_with,SNRIs
Depression,treated_with,Antidepressants
Depression,managed_by,Regular exercise
Depression,managed_by,Meditation
Depression,managed_by,Counseling
Depression,managed_by,Maintaining social connections
Thyroid Disorder,belongs_to,Endocrinology
Thyroid Disorder,has_symptom,Unexplained weight changes
Thyroid Disorder,has_symptom,Fatigue
Thyroid Disorder,has_symptom,Temperature sensitivity
Thyroid Disorder,has_symptom,Hair loss
Thyroid Disorder,has_symptom,Mood swings
Thyroid Disorder,requires_test,Thyroid function tests
Thyroid Disorder,requires_test,Ultrasound
Thyroid Disorder,requires_test,Hormone level tests
Thyroid Disorder,treated_with,Levothyroxine
Thyroid Disorder,treated_with,Thyroid hormone replacements
Thyroid Disorder,managed_by,Balanced diet
Thyroid Disorder,managed_by,Stress management
Thyroid Disorder,managed_by,Regular exercise
Kidney Stones,belongs_to,Urology
Kidney Stones,has_symptom,Severe side pain
Kidney Stones,has_symptom,Blood in urine
Kidney Stones,has_symptom,Frequent urination
Kidney Stones,has_symptom,Nausea
Kidney Stones,has_symptom,Burning sensation
Kidney Stones,requires_test,CT scan
Kidney Stones,requires_test,Urinalysis
Kidney Stones,requires_test,Blood tests
Kidney Stones,treated_with,Pain relievers
Kidney Stones,treated_with,Alpha-blockers
Kidney Stones,treated_with,Antibiotics
Kidney Stones,managed_by,Increased water intake
Kidney Stones,managed_by,Lemon juice
Kidney Stones,managed_by,Avoiding oxalate-rich foods
Gastritis,belongs_to,Gastrointestinal
Gastritis,has_symptom,Stomach pain
Gastritis,has_symptom,Nausea
Gastritis,has_symptom,Bloating
Gastritis,has_symptom,Indigestion
Gastritis,has_symptom,Loss of appetite
Gastritis,requires_test,Endoscopy
Gastritis,requires_test,Blood tests
Gastritis,requires_test,Stool tests
Gastritis,treated_with,Antacids
Gastritis,treated_with,Proton pump inhibitors
Gastritis,treated_with,H2 blockers
Gastritis,managed_by,Probiotics
Gastritis,managed_by,Avoiding spicy foods
Gastritis,managed_by,Stress reduction
Multiple Sclerosis,belongs_to,Neurology
Multiple Sclerosis,has_symptom,Fatigue
Multiple Sclerosis,has_symptom,Vision problems
Multiple Sclerosis,has_symptom,Muscle weakness
Multiple Sclerosis,has_symptom,Balance issues
Multiple Sclerosis,has_symptom,Numbness
Multiple Sclerosis,requires_test,MRI
